Sun Jun  7 00:58:16 2026    profile.prof

         87521198 function calls (84105556 primitive calls) in 212.643 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     3414    0.223    0.000    9.761    0.003 /home/fresh/projects/Pixel-Realm-Combat-Heroes-public/Code/GrassManager.py:255(update_render)
   533056    0.223    0.000    0.223    0.000 /home/fresh/projects/Pixel-Realm-Combat-Heroes-public/Code/Interaction.py:368(_record_aggro_check)
   249650    0.219    0.000    0.316    0.000 /home/fresh/projects/Pixel-Realm-Combat-Heroes-public/Code/Entity.py:1137(_get_interaction_resolver)
      597    0.214    0.000    0.356    0.001 /home/fresh/projects/Pixel-Realm-Combat-Heroes-public/Code/Level4_tmxdev.py:145(get_selectable_sprites)
    17705    0.209    0.000    0.992    0.000 /home/fresh/projects/Pixel-Realm-Combat-Heroes-public/Code/Entity.py:451(_resolve_entity_collision_legacy)
    11937    0.209    0.000    0.209    0.000 {built-in method posix.stat}
     4232    0.203    0.000    0.335    0.000 Main2.py:136(apply_settings)
     4056    0.202    0.000    1.136    0.000 /home/fresh/projects/Pixel-Realm-Combat-Heroes-public/Code/rts/world_sim.py:118(tick)
   181052    0.202    0.000    0.202    0.000 {method 'acquire' of '_thread.RLock' objects}
     4299    0.201    0.000    0.201    0.000 {built-in method pygame.event.get}
   278553    0.200    0.000    0.294    0.000 /home/fresh/projects/Pixel-Realm-Combat-Heroes-public/Code/EffectArea.py:22(__hash__)
   181052    0.200    0.000    0.288    0.000 /usr/lib/python3.10/logging/__init__.py:228(_releaseLock)
     3414    0.198    0.000    0.360    0.000 /home/fresh/projects/Pixel-Realm-Combat-Heroes-public/Code/Level4_tmxdev.py:877(_update_loot_container_proximity)
    54874    0.197    0.000    0.197    0.000 /home/fresh/projects/Pixel-Realm-Combat-Heroes-public/Code/combat_unit.py:678(resume_default)
71195/760    0.195    0.000    0.408    0.001 /usr/lib/python3.10/copy.py:128(deepcopy)
    83230    0.195    0.000    1.935    0.000 /home/fresh/.local/lib/python3.10/site-packages/pygame/sprite.py:1692(spritecollide)
   111216    0.190    0.000   31.923    0.000 /home/fresh/projects/Pixel-Realm-Combat-Heroes-public/Code/combat_unit.py:694(enemy_update)
   105036    0.188    0.000    0.311    0.000 /home/fresh/projects/Pixel-Realm-Combat-Heroes-public/Code/combat_unit.py:395(_current_prefer_team)
   111371    0.185    0.000    0.259    0.000 /home/fresh/projects/Pixel-Realm-Combat-Heroes-public/Code/combat_unit.py:579(cooldowns)
   442969    0.181    0.000    0.181    0.000 {method 'pop' of 'dict' objects}
      690    0.180    0.000    0.180    0.000 {method 'copy' of 'pygame.surface.Surface' objects}
   399694    0.173    0.000    0.173    0.000 {method 'normalize' of 'pygame.math.Vector2' objects}
    21208    0.168    0.000    1.027    0.000 /home/fresh/projects/Pixel-Realm-Combat-Heroes-public/Code/Entity.py:285(_apply_entity_displacement)
    62989    0.164    0.000    0.240    0.000 /home/fresh/projects/Pixel-Realm-Combat-Heroes-public/Code/Entity.py:654(_entity_entity_push_params)
   107977    0.163    0.000    0.192    0.000 /home/fresh/projects/Pixel-Realm-Combat-Heroes-public/Code/hashRect.py:20(__eq__)
      593    0.162    0.000    1.579    0.003 /home/fresh/projects/Pixel-Realm-Combat-Heroes-public/Code/rts/session.py:724(_draw_mode_hint)
   500588    0.161    0.000    0.161    0.000 {method 'items' of 'dict' objects}
    88764    0.161    0.000    0.340    0.000 /home/fresh/projects/Pixel-Realm-Combat-Heroes-public/Code/AnimatedEnvironmentSprite.py:59(update_animations_with_weather)
    25646    0.152    0.000    0.215    0.000 /usr/lib/python3.10/posixpath.py:71(join)
   104382    0.149    0.000    0.748    0.000 /home/fresh/.local/lib/python3.10/site-packages/pkg_resources/__init__.py:1864(_parents)
    10057    0.149    0.000    0.213    0.000 /usr/lib/python3.10/posixpath.py:335(normpath)
    17459    0.145    0.000    0.280    0.000 /home/fresh/projects/Pixel-Realm-Combat-Heroes-public/Code/CombatStrategy.py:337(move)
      333    0.144    0.000    0.801    0.002 /home/fresh/projects/Pixel-Realm-Combat-Heroes-public/Code/combat_unit.py:20(__init__)
   207026    0.143    0.000    0.143    0.000 {method 'get_size' of 'pygame.surface.Surface' objects}
   111665    0.141    0.000    0.141    0.000 /home/fresh/projects/Pixel-Realm-Combat-Heroes-public/Code/combat_unit.py:289(get_direction_as_string)
    88764    0.138    0.000    1.372    0.000 /home/fresh/projects/Pixel-Realm-Combat-Heroes-public/Code/Tree.py:38(update)
    94484    0.137    0.000    0.356    0.000 /home/fresh/.local/lib/python3.10/site-packages/pygame/sprite.py:440(__iter__)
       81    0.134    0.002    0.134    0.002 {method 'convert' of 'pygame.surface.Surface' objects}
    10038    0.129    0.000    0.481    0.000 /home/fresh/projects/Pixel-Realm-Combat-Heroes-public/Code/Interaction.py:394(apply)
   121277    0.127    0.000    0.258    0.000 /home/fresh/projects/Pixel-Realm-Combat-Heroes-public/Code/benchmark_broadphase.py:18(_record_benchmark_query)
   359713    0.127    0.000    0.127    0.000 {method 'magnitude' of 'pygame.math.Vector2' objects}
     6828    0.125    0.000    0.237    0.000 /home/fresh/projects/Pixel-Realm-Combat-Heroes-public/Code/rts/behavior_drivers.py:102(steer)
    92784    0.122    0.000    0.194    0.000 /home/fresh/.local/lib/python3.10/site-packages/pkg_resources/__init__.py:2673(_is_zip_egg)
    53183    0.121    0.000    1.824    0.000 /home/fresh/projects/Pixel-Realm-Combat-Heroes-public/Code/tmx_layout_manager.py:196(add_obstacle_sprite_to_quad_tree)
   417140    0.120    0.000    0.120    0.000 {built-in method builtins.id}
    92784    0.120    0.000    0.476    0.000 /home/fresh/.local/lib/python3.10/site-packages/pkg_resources/__init__.py:2666(_is_egg_path)
